rank,source,target,time
0,16445,8994,37610
0,2362,6489,82639
0,13133,12393,80930
0,14363,543,35521
0,8590,18354,52814
0,19308,19145,80451
0,11541,2967,27895
0,17788,16438,44366
0,11097,7491,70465
0,12386,4304,24973
0,9561,5982,63832
0,9354,148,58353
0,6493,5885,17004
0,16646,7844,8406
0,2776,11846,52597
0,18537,19449,72242
0,4980,17664,73726
0,5271,13210,45351
0,16710,7904,42493
0,10546,10688,4462
0,7586,10179,22641
0,14677,2045,4141
0,17314,4023,31882
0,8454,8616,25918
0,112,4452,76555
0,10714,8449,19102
0,1313,8288,5455
0,19385,13043,52708
0,4652,14326,35517
0,9964,17051,9270
0,2179,7380,35270
0,14872,12394,60075
0,2944,17663,40472
0,12363,1749,16752
0,17370,12334,43361
0,1560,885,68315
0,5121,7180,23765
0,15547,5322,67375
0,11399,10625,80355
0,16250,2569,69783
0,2825,3623,18498
0,616,2561,27492
0,10195,16980,45401
0,4891,11771,58942
0,11781,13003,33114
0,637,4003,4272
0,12542,19127,13187
0,4560,7241,20587
0,10526,8439,52084
0,9569,9183,73321
0,13936,15454,49676
0,16603,19686,7216
0,18607,9973,51391
0,14954,2896,60638
0,3869,12928,2320
0,6927,18432,5239
0,13784,18767,30386
0,9122,7428,26683
0,4494,14560,53974
0,16878,876,24704
0,12622,16111,51628
0,5343,14400,83739
0,8035,1338,46642
0,8439,17867,79150
0,4121,259,55521
0,16348,1318,24538
0,15999,10134,48027
0,13657,9012,19682
0,12639,11764,42621
0,11975,6253,48424
0,15270,5555,17506
0,10975,15265,58697
0,13067,2257,83530
0,13612,15408,85387
0,6386,3853,58992
0,553,17637,43194
0,19219,9296,31169
0,14527,1000,64875
0,18214,222,72759
0,12650,4344,59418
0,4930,90,22355
0,11297,18584,25175
0,13434,4910,72879
0,10879,5965,8680
0,3493,12710,9300
0,6540,9258,2994
0,8514,2573,57551
0,1514,8968,25658
0,10461,5538,78056
0,8324,1664,48870
0,19667,10410,83764
0,876,11621,22286
0,11121,17161,64495
0,12442,3835,52768
0,14095,7021,62384
0,6328,15733,51142
0,385,7005,85600
0,3727,8133,37525
0,19009,6692,80002
0,7401,8286,78398
0,11915,14672,33416
0,12752,11973,11036
0,9591,18531,55560
0,9560,10457,3591
0,14455,14813,59290
0,15785,16052,7606
0,9017,15710,79880
0,8885,1604,29305
0,15234,15751,21528
0,777,358,63828
0,18766,18402,40208
0,8497,5442,24634
0,15518,12710,79684
0,14390,15537,66908
0,19620,14197,68855
0,3941,5581,43223
0,11051,6849,24454
0,15995,2045,82215
0,17350,14640,24477
0,7145,15529,15789
0,9750,15649,50664
0,7855,3873,75257
0,18140,2027,44821
0,11919,15152,33
0,16447,13438,6539
0,11233,14130,42853
0,11275,3323,27100
0,3744,19331,69531
0,13879,3036,21799
0,8296,12589,42842
0,5319,7327,77858
0,1666,19049,2132
0,8803,11536,51762
0,10514,2695,16794
0,5111,7325,47339
0,18366,15570,40666
0,6021,4080,75599
0,15825,14698,23643
0,39,6797,77863
0,5778,16552,82720
0,5655,13704,62740
0,1979,10849,81936
0,12262,3753,85319
