rank,source,target,time
4,18140,11904,45543
4,16856,14891,56039
4,18701,4124,65182
4,2151,7214,34264
4,16093,17975,47728
4,3958,1732,29988
4,10542,12127,57828
4,6337,13265,55739
4,3933,16717,45291
4,17765,4821,82392
4,4311,4481,5806
4,11906,4093,67626
4,9701,17996,12295
4,6044,17125,66263
4,8550,15779,37777
4,7513,15184,8129
4,19483,17048,25756
4,8340,3499,46270
4,13705,10202,3128
4,3588,14133,25114
4,6578,10070,3855
4,10720,19444,25652
4,15808,11344,18133
4,5008,13425,72801
4,2152,19403,11631
4,9783,14726,50251
4,14975,15635,73989
4,16243,4016,50402
4,15600,17291,66236
4,16828,8866,53183
4,12902,19147,45257
4,18861,10094,54858
4,5706,17598,32055
4,1432,10961,11661
4,11235,15778,14208
4,19474,3896,47438
4,10878,13800,82413
4,5566,8322,78867
4,12279,14786,63182
4,6051,4004,49997
4,3541,16084,33874
4,19438,16851,81633
4,14066,16877,47571
4,16485,16478,67632
4,8999,9585,71664
4,15658,13897,40607
4,14569,8696,5328
4,15411,18140,82507
4,13876,3827,7244
4,6800,18229,80877
4,11720,10610,83350
4,3928,11548,75116
4,16095,13946,12485
4,10596,14637,55637
4,2404,12924,44790
4,10098,12982,17284
4,16561,12805,46836
4,7917,10720,14804
4,13631,8519,53996
4,16322,17836,17328
4,4050,1424,81237
4,10108,5154,85214
4,17406,17394,53267
4,17774,13639,15614
4,19517,5732,41641
4,2956,15082,22034
4,15228,17737,34641
4,3992,6311,79346
4,2968,11499,75443
4,11416,2488,50851
4,1089,8193,72674
4,15621,12830,7810
4,11010,10299,47912
4,15036,3927,49612
4,11951,12596,59985
4,12917,13356,31398
4,7114,19227,28513
4,12925,7927,35693
4,15473,10010,80632
4,15239,19072,84687
4,13634,17836,82109
4,16880,19501,29565
4,1476,11333,25356
4,1190,13345,65756
4,16832,4077,62963
4,5224,10714,62797
4,7156,17594,9357
4,13485,10993,18182
4,10275,16031,8965
4,1608,7551,41295
4,14150,12390,15923
4,13483,9841,71874
4,3187,1558,25405
4,10271,1510,76663
4,15119,4285,13181
4,5380,8667,73129
4,15257,2002,66749
4,1485,16591,86122
4,11542,6616,83137
4,1208,1709,43721
4,19514,8710,67539
4,10433,8976,23456
4,16172,18151,39875
4,15368,3260,30538
4,16129,14943,14539
4,13714,3233,28636
4,8282,7213,5538
4,5787,13631,15362
4,18075,17833,33603
4,3124,12452,31883
4,1649,15612,25188
4,2253,8899,10143
4,13009,7704,73984
4,18354,4547,53749
4,3539,11333,69034
4,19536,11599,71620
4,14267,6937,40305
4,19491,9747,84217
4,19507,14794,14553
4,17974,5180,57281
4,16284,5814,71774
4,5954,3602,53141
4,8415,3268,54390
4,19471,5543,56162
4,1261,13562,64787
4,12545,19440,84468
4,7363,5963,25938
4,2434,14769,78194
4,8366,8361,65915
4,10336,11018,14499
4,13283,2391,48997
4,8001,15560,78484
4,13134,11402,21765
4,1667,3895,4622
4,13730,3703,34186
4,1116,9710,10364
4,16779,17863,66952
4,5022,7685,84739
4,3754,15577,31153
4,3605,2634,69152
4,9617,16339,30400
4,14977,16551,78430
4,1296,18130,46202
4,7049,3337,75336
4,17866,16306,81146
4,17435,17323,23712
4,18993,18247,75244
4,16260,12600,23361
4,12452,8309,26817
4,13587,7572,84608
4,16317,14910,36679
4,16328,18005,84766
4,11457,5916,49449
4,16065,16753,40850
4,1289,5456,69054
4,1365,9408,77940
4,11127,14868,9251
4,1316,14313,28436
4,9575,13786,46605
4,18207,3356,73828
4,11187,6599,62049
4,14740,12256,31326
4,19538,17564,47198
4,1513,10702,51345
4,9512,16555,34176
4,13057,17818,21906
4,12591,10575,23866
4,4497,7571,83538
4,6864,2845,77564
4,9890,2089,71790
4,11593,16073,36213
4,17775,8638,69135
4,9955,7983,36041
4,16965,6289,38808
4,17820,5524,52249
