rank,source,target,time
0,12491,8216,61177
0,11953,9673,40009
0,21326,11080,54628
0,9667,7294,45995
0,3406,20113,63086
0,12890,13119,61411
0,5977,14173,15071
0,19526,21607,54732
0,781,10260,38559
0,9645,6220,68263
0,20410,23328,1324
0,14253,22378,36826
0,7917,2119,18326
0,4660,3461,1154
0,3522,5697,56911
0,9157,8052,63790
0,10685,18591,15555
0,3476,10603,83987
0,14499,19262,1534
0,144,17764,64255
0,24836,17055,52325
0,6852,12078,5199
0,7050,292,36813
0,4076,8795,2763
0,385,11767,39053
0,21554,23920,28908
0,15721,25594,36506
0,8920,1119,77446
0,4880,7012,73372
0,3447,2682,25299
0,21163,24088,59065
0,21643,9739,33519
0,3011,6431,24801
0,4107,1560,33305
0,12839,8762,83438
0,9422,2528,66883
0,22185,12071,79904
0,14369,20984,81353
0,5557,1177,65864
0,13297,24996,61446
0,17528,11944,84053
0,24530,25787,80453
0,5188,7378,80563
0,5022,20341,60765
0,21508,20919,34191
0,10446,2442,81073
0,6077,6874,10265
0,25931,9740,54041
0,6410,208,1774
0,21567,20308,49144
0,3278,16021,71972
0,7244,8685,34169
0,23484,9519,55784
0,11900,6758,57281
0,4666,13016,76299
0,8438,1477,62893
0,849,20126,55344
0,15571,9165,11125
0,23347,24985,39954
0,23367,1713,44520
0,6355,22935,65310
0,5686,4301,82336
0,13129,2828,18448
0,9364,8904,67648
0,23137,23207,81488
0,15384,17518,26093
0,23828,15050,33051
0,22073,13482,1482
0,14539,871,64289
0,15914,22652,73688
0,25519,1191,36442
0,20617,6149,58650
0,974,11038,46016
0,7730,8320,50086
0,24351,7811,56714
0,13484,21771,39452
0,20972,24079,39000
0,7629,12449,60565
0,12982,10528,69642
0,10934,10084,53907
0,4887,19424,10270
0,13366,10347,62011
0,21808,17539,80976
0,6052,577,45616
0,21950,8374,51681
0,10173,12611,51123
0,10845,595,23441
0,13749,12456,41842
0,9344,20711,23710
0,25179,732,41347
0,2963,5695,11229
0,15371,16064,3375
0,16085,7149,49379
0,8257,4898,9971
0,25252,5657,67998
0,21653,12659,38164
0,22009,14946,31955
0,19995,14863,13103
0,16399,14587,60097
0,8138,6575,76742
0,1384,24288,42765
0,1714,3618,8895
0,14976,1180,35940
0,105,10685,26373
0,19583,15015,26679
0,1320,3894,54600
0,12470,25608,39021
0,9062,4375,66077
0,14915,12886,51982
0,5188,3554,58198
0,11768,6796,28338
0,25908,4068,16381
0,20014,7364,54957
0,12848,25355,19285
0,5832,460,25828
0,5291,15573,83486
0,1602,3457,4156
0,24839,2697,23168
0,6805,19751,61624
0,5796,23549,51612
0,1011,11900,49426
0,422,11225,45922
0,3271,23716,13206
0,25714,6005,26377
0,3043,12818,74047
0,12438,3990,19775
0,7674,23566,28235
0,4012,22635,19447
0,15799,18179,5964
0,3181,15124,61419
0,13286,8911,57062
0,2671,21300,31894
0,21993,475,37290
0,24566,6554,53727
0,23887,5109,26573
0,10252,17645,15072
0,15747,7248,46140
0,5993,25784,39018
0,14856,21403,12160
0,16704,6753,54276
0,25975,5805,40451
0,19180,10659,57972
0,20756,16032,4640
0,15625,23859,51978
0,2963,23805,21336
0,8856,22169,43478
0,13077,1277,51060
0,23901,4071,24578
0,21758,6485,17479
0,8413,3384,40743
0,23429,15129,75148
0,10901,5270,66762
0,4427,14292,65558
0,18818,24603,70705
0,8432,19881,38808
0,18482,19643,54253
0,13393,10469,57334
0,12917,9609,57098
0,22029,9222,8701
0,23955,16268,9878
0,8134,1533,34204
0,15288,12785,15285
0,7462,13049,7871
0,3869,21274,82165
0,10891,16643,22525
0,10728,10375,73190
0,7319,9842,13505
0,5412,14796,31780
0,8389,2371,24722
0,594,21515,41430
0,834,16711,15242
0,20412,3091,75771
0,14191,12892,48552
0,23254,24220,46106
0,7893,12662,28705
0,22063,11942,14809
0,22523,17733,60015
0,911,9172,27327
0,19911,15081,31594
0,4374,11916,55036
0,6160,2374,82494
0,20293,11310,54698
0,957,18506,22605
0,8903,10437,46159
0,15991,9930,26995
0,10146,8786,36673
0,6345,8573,26319
0,24297,9278,68020
0,17689,3809,63664
0,19654,9058,85297
0,22051,5876,47678
0,7798,8896,31485
0,5592,18972,77629
0,696,10879,38192
0,1373,3608,64262
0,12912,14930,53849
0,25786,20053,77150
0,22104,9836,17143
0,24686,1654,81245
0,3527,22637,13356
0,8560,18650,56290
0,7931,153,61907
0,23179,17935,85088
0,53,1547,54748
0,26051,1597,78388
0,2136,16693,38971
0,13481,25275,49175
0,15680,8962,72551
0,20676,6753,32728
0,17152,13781,77516
0,2748,9806,82623
0,2628,25356,76860
0,11357,12019,6706
0,4121,8565,34077
0,6336,9205,61772
0,15386,7900,20529
0,19619,13297,39800
0,11239,25692,1158
0,18316,5581,67304
0,11071,17529,43526
0,6860,11317,38756
0,11750,22458,430
0,7941,6593,56636
0,13577,21199,2560
0,17402,14547,46848
0,17972,17106,13532
0,22999,2046,65829
0,3699,6366,39088
0,14954,9616,50624
0,940,23429,47169
0,454,5154,15440
0,12356,19407,13879
0,6617,22686,11233
0,20438,21343,33084
0,1977,336,34649
