rank,source,target,time
4,1604,4804,37069
4,6320,540,72214
4,19983,20115,6307
4,16978,7252,27813
4,5583,24,39078
4,19350,19344,23589
4,9250,9246,7434
4,641,19034,68541
4,986,15281,43847
4,5053,8344,75307
4,19443,16827,61372
4,20882,20884,82777
4,16870,20876,56808
4,17252,14214,25180
4,24588,7000,62080
4,654,6261,42813
4,7871,7525,55928
4,2842,2834,41358
4,8441,20894,82332
4,697,4092,81474
4,6368,9190,71159
4,6199,6531,5593
4,9611,9631,64515
4,19427,19554,55975
4,8089,19995,40645
4,15704,17696,31260
4,6065,16441,51098
4,3340,3145,31758
4,14260,25827,81459
4,8849,22157,17857
4,891,6410,14726
4,25320,20651,80569
4,682,6303,73754
4,6619,15913,71329
4,10231,2707,37663
4,8282,8327,81552
4,953,4032,40297
4,10709,11919,66928
4,8506,22973,58401
4,22285,22244,31531
4,22352,16546,11824
4,3610,3608,652
4,2400,3087,31679
4,577,16286,49746
4,6006,6904,30295
4,18042,21734,24138
4,901,6947,52120
4,23686,12467,75060
4,5986,5709,79501
4,9053,227,1185
4,8450,758,25450
4,8485,25363,62023
4,3595,21940,51712
4,22341,9360,25708
4,15245,13501,50055
4,769,923,3349
4,21121,20156,20195
4,17341,17462,652
4,708,403,2425
4,122,6894,1735
4,16011,23356,48627
4,20905,7379,66317
4,7864,7942,85461
4,396,5051,45877
4,6575,14288,78250
4,22988,22985,14897
4,17218,20584,78019
4,8609,18478,1364
4,673,16413,71591
4,166,59,83526
4,17117,1031,52066
4,1033,1034,14362
4,20338,21603,29096
4,9557,9219,17673
4,4113,4114,20915
4,9691,9539,71908
4,5659,9286,22464
4,1039,2697,64286
4,21088,127,34623
4,553,25515,58326
4,8591,8589,77403
4,1819,18887,22479
4,8040,5250,44434
4,7219,6419,56989
4,8296,6199,55124
4,405,6341,52561
4,15898,6603,69717
4,15372,11191,83907
4,7758,7792,56167
4,9584,12740,85788
4,490,5003,24361
4,7083,80,20592
4,838,21309,33788
4,15903,15899,46905
4,24614,2043,3140
4,23152,2346,45901
4,17772,16776,59290
4,883,5589,16678
4,4481,10738,44777
4,5836,5831,21999
4,1344,14671,38563
4,21608,20316,36545
4,8594,21101,43421
4,6353,613,74234
4,735,9071,3336
4,26006,985,20603
4,24812,2704,82477
4,372,19136,13764
4,403,6099,66620
4,22373,9552,83942
4,16730,5667,70072
4,6589,3657,83004
4,14269,5787,23955
4,6382,6346,47587
4,441,445,8815
4,738,25169,69954
4,320,7493,74120
4,5860,25696,48645
4,7168,4088,79132
4,21213,13148,83816
4,22473,20687,49934
4,22987,22985,13616
4,301,7025,22021
4,15463,149,20436
4,21562,21558,16217
4,1125,11972,62464
4,6536,5478,13946
4,471,637,27005
4,8992,19406,10389
4,9146,18618,84325
4,22451,22974,64851
4,8815,15099,34388
4,932,18567,27438
4,7222,270,14333
4,3212,3267,56886
4,11980,14795,80944
4,14247,14248,35639
4,12235,24086,73543
4,480,19139,63006
4,15908,15914,62682
4,15043,12698,57142
4,23381,12081,76869
4,10081,781,7635
4,22345,21104,40154
4,8496,7481,49588
4,183,24578,3894
4,13035,16110,22921
4,19980,19979,73281
4,14608,15411,5820
4,596,19634,47570
4,7329,980,15319
4,8696,8832,76322
4,20891,8440,44008
4,7929,7927,4495
4,16735,9254,29436
4,7579,7655,41988
4,9491,22964,25555
4,17716,17798,50039
4,16191,21354,79701
4,314,9320,22042
4,7198,6896,82412
4,3592,21936,24041
4,22086,7370,83568
4,7961,7295,23858
4,1711,1715,34623
4,7953,463,53643
4,21035,22413,24116
4,17454,17920,36558
4,19969,7696,58400
4,464,4593,7019
4,337,17401,38934
4,1133,14792,34570
4,16643,17232,1908
4,761,17621,56791
4,699,7875,8463
4,1632,949,73115
4,6934,11441,34043
4,381,313,37098
4,5038,570,56980
4,20155,20150,70391
4,139,22085,61617
4,24768,1027,7247
4,78,609,33285
4,3828,1558,3404
4,5315,345,75174
4,5412,4025,69134
4,4227,3490,36656
4,10289,10305,20490
4,840,14276,15540
4,850,575,23470
4,7010,546,68431
4,819,7085,6841
4,8618,17129,24696
4,4585,20973,58245
4,8487,15605,32722
4,843,3982,3659
4,5944,5942,62514
4,24785,438,83633
4,513,6924,12632
4,700,520,23975
4,17796,17798,15927
4,15284,15285,76337
4,24574,972,41848
4,16308,9,36980
4,16801,15308,49509
4,4126,18314,62899
4,911,16268,21302
4,1272,1274,31747
4,23723,23998,62810
4,13254,4772,26904
4,6567,6683,56248
4,13072,16109,26568
4,2698,2739,80566
4,19610,893,38059
4,8879,56,53962
4,22356,8726,14584
4,6636,15136,80617
4,153,815,16850
4,8044,710,46581
4,17513,17464,23870
4,16680,18544,30826
4,4296,4255,56115
4,7014,8034,5080
4,14642,24995,42259
4,912,911,137
4,1583,15401,62691
4,2724,8581,25999
4,726,6541,31204
4,7985,7170,67058
4,575,376,8399
4,26046,25953,74923
4,6307,5991,5100
4,980,7941,21158
4,5562,11379,77242
4,10515,10512,29114
4,624,16291,63612
4,20611,20513,71163
4,5462,5512,62851
4,20158,17840,9482
4,97,2266,21148
4,5612,5045,8362
4,23368,12080,72696
4,7281,7121,15819
4,466,23383,48486
4,3220,3225,17616
4,14231,14162,37355
4,4219,4218,85935
4,14594,14491,34923
4,12738,12741,7428
4,96,5696,78116
4,16616,17045,83256
4,21175,22410,81451
4,20712,12983,11542
4,131,5703,63490
4,2936,25300,80089
4,15270,2693,4132
4,16089,718,58707
4,5440,5449,76614
4,23495,23499,34051
4,561,2471,76238
4,23084,8142,17015
4,10381,18475,84807
4,19039,7178,38078
4,580,10098,68288
4,21092,10699,37500
4,305,555,53215
4,19355,14293,1579
4,17151,16913,11103
4,20677,13096,52619
4,18515,3227,34801
4,20109,430,78457
4,7276,9368,37687
4,9719,9712,81053
4,3563,12324,38830
4,4101,4102,13117
4,15160,20955,39261
4,8931,22102,63292
4,14650,10761,84933
4,7553,4597,26448
4,9364,9820,18992
4,9225,8833,28225
4,80,19620,37727
4,17560,24477,52598
4,12316,3397,17613
4,21675,21384,49390
4,616,604,3799
4,19122,182,75196
4,19639,8330,567
4,2384,665,11302
4,19,3104,4890
4,5478,9389,5742
4,5355,11915,4469
4,20551,5963,9705
4,12147,6558,18985
4,24681,21117,84318
4,13183,21208,13095
4,14170,15287,29366
4,20927,20926,31966
4,20093,603,64993
4,7292,12211,60340
4,15584,18605,74547
4,23,4190,43748
4,8605,10046,17311
4,21151,21166,32558
4,13640,20567,29237
4,399,871,70064
4,15113,8862,32845
4,22974,608,14036
4,20104,19761,80490
4,17212,17213,3237
4,7586,40,56898
4,18558,6489,68993
4,17518,4993,17210
4,881,5643,2592
4,15714,24128,26528
4,7667,7664,85424
4,896,9050,75556
4,7126,7208,52775
4,23725,23722,74931
4,18530,1169,67187
4,8682,8678,49912
4,7630,891,39598
4,9168,9219,20156
4,10219,10216,80359
4,9513,9510,60269
4,5136,7692,56471
4,3770,13497,73263
4,8471,7695,39110
4,576,490,76243
4,1619,1206,37545
4,19436,19432,30364
4,9861,10658,71001
4,194,16430,45703
4,9644,22394,53262
4,908,4116,78047
4,21569,21575,10993
4,16391,16357,84676
4,3196,11942,51774
4,3094,2414,63868
4,38,7880,27179
4,23333,20686,22099
