from,to,time
23243,4192,131
23243,4193,91
23243,20691,51
23243,20690,142
13284,21876,11
23244,24530,136
23244,24531,134
22413,361,204
22413,4083,45
22413,4084,97
22413,468,204
10040,10964,25
10040,10576,35
10040,10548,50
10040,10549,35
10040,9713,72
10040,10963,45
10040,10312,35
10040,14291,45
10040,14292,25
23245,23062,54
23245,24524,105
23245,24526,56
23245,22790,54
23245,22791,105
23245,23314,54
23245,23315,105
23246,23061,45
23246,24589,110
23246,225,198
23246,24525,45
23246,22789,45
23246,23313,45
23246,22840,26
23246,23348,26
23246,572,198
21010,18675,73
21010,18657,73
23247,23562,49
23247,22966,102
23247,8524,115
23247,22787,102
23247,23490,115
23247,23311,102
23247,8579,49
23247,23601,49
23247,24518,49
19967,12227,60
13285,21690,59
13285,21689,72
23249,51,270
23249,772,270
25533,6378,31
25534,6378,31
25534,14205,31
25535,6378,31
25535,14205,31
25536,25538,31
25536,14205,31
25536,782,186
25536,6378,31
25536,17798,84
25536,61,186
25536,17748,84
25536,11603,84
25537,7196,31
25537,25538,31
25537,14205,31
25537,11856,31
25537,782,186
25537,6378,31
25537,17798,84
25537,61,186
25537,17748,84
25537,11603,84
25538,25532,31
25538,25533,31
25538,25535,31
26609,23394,82
26609,633,277
26609,634,270
26609,19393,21
26609,23395,45
26609,186,277
26609,187,277
26609,662,277
26609,189,277
26609,5457,82
26609,810,270
26609,11779,68
26609,23,270
26609,5471,68
26609,8048,106
26609,188,270
26609,601,277
25539,23824,139
25539,23823,119
25539,15854,45
25539,15855,35
25540,13797,84
25540,11436,62
25540,8282,63
25540,8283,61
25540,8284,62
25540,9131,30
25540,9132,74
25540,11482,84
25540,11483,62
25540,7071,30
25540,7628,74
25540,7629,60
25541,13797,50
25541,11436,68
25541,8282,105
25541,8283,102
25541,8284,63
25541,9131,68
25541,9132,35
25541,11482,50
25541,11483,68
25541,7071,68
25541,8363,79
25541,7628,35
25541,7629,27
25542,7017,77
25542,534,230
25542,314,230
25542,379,279
25542,425,279
25542,7016,82
25543,239,198
25543,9154,48
25543,13795,48
25543,11478,49
25543,11479,29
25543,11438,29
25543,11439,95
25543,586,198
25543,5533,104
25543,7624,48
25543,7625,29
25543,11553,95
25544,239,257
25544,750,254
25544,9153,102
25544,9154,82
25544,13795,82
25544,11476,95
25544,11478,95
25544,586,257
25544,11479,84
25544,14317,90
25544,11438,84
25544,11440,95
25544,5533,41
25544,7624,82
25544,7625,84
25544,5535,90
25544,90,254
25545,11473,103
25545,11474,83
25546,7623,95
25546,90,226
25546,750,226
25546,7622,95
25547,11473,20
25547,13792,102
25547,11441,97
25548,11474,20
25548,13792,82
25548,11441,76
25549,11471,100
13645,3713,43
13645,3710,81
13645,3770,43
23253,5384,59
23253,525,216
23253,305,216
23253,5427,59
25557,16566,31
25558,16567,31
25559,16564,23
25559,9091,66
25559,9092,27
25559,11463,27
25559,11464,66
25560,16565,23
25560,9091,70
25560,9092,50
25560,11463,50
25560,11464,70
10042,7533,23
21453,9483,41
25566,5750,83
25186,5718,41
25186,711,226
25186,9142,99
25186,110,226
25186,5717,99
4880,3767,66
4880,3806,66
4880,25392,36
4880,3696,66
4880,3778,66
25569,15741,79
25569,15742,137
25569,9099,99
25569,9100,79
25570,15740,82
25570,15741,121
25570,15742,61
25570,9099,101
25570,9100,121
25571,15745,127
25572,15745,65
25573,15744,65
25574,15747,48
25575,15746,48
25576,15749,19
25577,15748,19
25578,15796,28
25578,17029,81
25578,224,216
25578,17030,81
25578,15750,71
25578,571,216
25579,17029,91
25579,224,225
25579,17030,91
25579,15750,92
25579,571,225
25580,5723,42
25580,5724,142
25580,5725,95
25580,5749,21
25580,15743,21
25581,5723,123
25581,15797,128
25581,15742,40
25581,5749,125
25581,15743,125
23258,122,214
23258,5313,96
23258,5314,62
23258,723,214
25585,239,198
25585,11438,21
25585,11439,95
25585,13795,12
25585,9154,12
25585,7624,12
25585,7625,21
25585,11553,95
25585,586,198
25585,11479,21
25586,7017,81
25586,11481,18
25586,11437,18
25586,379,211
25586,425,211
25586,7627,18
25587,6386,51
25588,294,197
25588,6386,51
25588,8098,51
25588,25213,51
25588,6514,107
25588,7621,107
25588,7562,42
25588,2314,74
25588,2315,107
25588,514,197
25588,513,197
25588,293,197
22416,633,189
22416,634,189
22416,11781,76
22416,186,189
22416,187,189
22416,662,189
22416,189,189
22416,810,189
22416,8049,60
22416,8050,76
22416,23,189
22416,11780,60
22416,5472,24
22416,188,189
22416,601,189
22416,23396,43
10043,7534,23
10616,10113,90
10616,10114,90
25595,19315,136
25596,19337,72
18777,17223,107
10617,9565,108
10617,9566,108
10617,10025,108
10617,10026,108
10617,10058,108
10617,10059,108
25600,20799,61
25600,12186,61
25601,12187,61
25602,20798,38
25602,12184,38
25603,12185,38
14481,2777,110
14481,2778,65
14481,2787,65
14481,2767,28
14481,1176,65
14481,2774,28
25605,12182,123
25605,12183,103
25606,19310,127
25607,19310,130
25608,6885,10
25608,6936,19
25608,19310,100
25609,12180,95
25609,12181,115
25609,5017,67
25609,5018,45
25609,20793,64
25609,11662,117
25609,11663,45
25609,11664,67
25609,20794,64
25609,6883,17
25609,6884,18
25609,19999,117
25609,20000,45
25609,20001,67
25609,12179,117
12607,6908,109
12607,6909,107
25611,12180,112
25611,5017,70
25611,5018,96
25611,5019,108
25611,5020,124
25611,20793,132
25611,11661,60
25611,11663,96
25611,11664,70
25611,20794,132
25611,6883,134
25611,6884,134
25611,20001,70
25611,20000,96
25611,19998,60
25611,12178,60
25612,12180,99
25612,12181,134
25612,5017,123
25612,5018,144
25612,5019,51
25612,5020,71
25612,20793,136
25612,11662,60
25612,11663,144
25612,11664,123
25612,20794,136
25612,19999,60
25612,20000,144
25612,20001,123
25612,12179,60
25613,19996,81
25613,11659,81
25613,12176,81
24757,20040,107
24757,6871,51
24757,6872,51
25615,16163,144
25615,19994,137
25615,11657,137
25615,16198,144
25615,1942,144
25615,12174,137
25617,4332,18
25617,4333,139
25617,16159,18
25617,24610,55
25617,24611,72
25617,1937,18
25617,1938,52
25617,11655,60
25617,1940,132
25617,24760,72
25617,11031,60
25617,11033,139
25617,17865,55
25617,24712,132
25617,24761,132
25617,16194,18
25617,16195,18
25617,12171,42
25617,12172,72
25617,24773,55
25617,24660,55
25617,15093,42
25617,15092,42
25617,24661,72
25617,15003,42
25617,15004,42
25617,15100,42
25617,6875,77
25617,24800,132
25617,413,203
25617,16160,18
25617,11656,60
25617,6876,66
25617,24799,72
25617,24724,55
25617,827,203
25617,24638,132
25617,4296,86
25617,4297,86
25617,4298,139
25617,4331,86
25618,4332,42
25618,24760,11
25618,24610,101
25618,24611,11
25618,1937,49
25618,1938,9
25618,11032,60
25618,4297,107
25618,20039,60
25618,16194,49
25618,16195,49
25618,12171,39
25618,12172,11
25618,24773,101
25618,17865,101
25618,24661,11
25618,24724,101
25618,15003,21
25618,15004,21
25618,15100,21
25618,6875,108
25618,413,212
25618,6876,108
25618,16159,49
25618,16160,49
25618,4296,107
25618,24799,11
25618,24660,101
25618,827,212
25618,15092,21
25618,15093,21
25618,4331,107
25619,6874,134
25619,24663,136
25619,24797,136
25619,19991,136
25619,6873,135
25619,24613,136
25619,15089,136
25619,11028,136
25619,24758,136
25619,15000,136
19843,11102,35
19843,8222,35
19843,5164,35
21177,17258,13
21177,19058,13
21177,20929,13
21177,18966,13
21177,18076,13
25622,19988,54
25622,24795,54
25622,24666,54
25622,15086,54
25622,11025,54
25622,24616,54
25622,14997,54
25622,24756,54
25623,19989,54
25623,24665,54
25623,15087,54
25623,17868,54
25623,24615,54
25623,11026,54
25623,15103,54
25623,24727,54
25623,14998,54
25623,24776,54
19789,12603,26
19789,6905,135
25625,24778,105
25625,24728,41
25625,14996,41
25625,24667,41
25625,24668,105
25625,11024,41
25625,15104,41
25625,24617,41
25625,24618,105
25625,24619,71
25625,24669,71
25625,19987,41
25625,15085,41
25625,24777,41
25625,17869,41
25625,17870,105
25625,20974,71
25625,20975,105
25626,20976,71
25626,2906,135
25626,11021,63
25626,19984,63
25626,12234,51
25626,22814,9
25626,22815,51
25626,21000,45
25626,14993,50
25626,14994,9
25626,2905,135
25626,2858,125
25626,2907,31
25626,2908,63
25626,22835,125
25626,15105,9
