from,to,time
21441,9495,126
24201,24247,97
24201,15507,61
24201,15494,72
24201,24246,110
24201,15535,61
24201,15521,9
21444,9483,54
21444,9484,47
21444,9533,120
16122,13003,36
16122,13004,31
21445,8668,120
21445,8667,82
12617,9229,12
12617,15796,215
12617,15750,123
12617,15751,24
12617,15752,36
12617,17030,123
12617,9353,24
12617,17029,123
12617,224,291
12617,9352,36
12617,17031,49
12617,9219,36
12617,9388,141
12617,25578,194
12617,25579,215
12617,571,291
12617,9228,45
10605,14535,63
11252,1402,93
11252,1403,91
25533,6378,31
25534,6378,31
25534,25532,62
25534,14205,31
25535,6378,31
25535,25532,62
25535,14205,31
25536,17799,111
25536,14205,31
25536,782,186
25536,6378,31
25536,17798,84
25536,25532,62
25536,25533,62
25536,25534,168
25536,25535,62
25536,11603,84
25536,11604,442
25536,25538,31
25536,61,186
25536,17748,84
25537,11604,132
25537,17799,111
25537,14205,31
25537,11856,31
25537,782,186
25537,6378,31
25537,25533,62
25537,25532,62
25537,17798,84
25537,25534,62
25537,25535,62
25537,11603,84
25537,7196,31
25537,25538,31
25537,25536,62
25537,61,186
25537,17748,84
25538,6378,62
25538,14205,62
25538,25532,31
25538,25533,31
25538,25535,31
26609,23,270
26609,662,277
26609,11781,466
26609,5456,582
26609,5457,82
26609,23395,45
26609,8047,123
26609,8048,106
26609,8049,480
26609,8050,466
26609,810,270
26609,23394,82
26609,633,277
26609,634,270
26609,23396,473
26609,19393,21
26609,186,277
26609,187,277
26609,188,270
26609,189,277
26609,11779,68
26609,5471,68
26609,11780,480
26609,5472,460
26609,601,277
26610,23,270
26610,662,277
26610,11781,466
26610,5456,582
26610,5457,82
26610,23395,45
26610,8047,123
26610,8048,106
26610,8049,480
26610,8050,466
26610,810,270
26610,23394,82
26610,633,277
26610,634,270
26610,23396,473
26610,19393,21
26610,186,277
26610,187,277
26610,188,270
26610,189,277
26610,11779,68
26610,5471,68
26610,11780,480
26610,5472,460
26610,601,277
25539,15854,45
25539,23823,119
25539,23824,139
25539,15855,35
25540,7631,170
25540,8283,61
25540,534,340
25540,9132,74
25540,13798,138
25540,8282,63
25540,13797,84
25540,8284,62
25540,7630,239
25540,9131,30
25540,11436,62
25540,11482,84
25540,11483,62
25540,314,340
25540,7071,30
25540,11484,138
25540,8363,137
25540,7628,74
25540,7629,60
25540,7016,117
25541,7631,171
25541,8283,102
25541,534,381
25541,9132,35
25541,13798,139
25541,8282,105
25541,13797,50
25541,8284,63
25541,7630,181
25541,9131,68
25541,11436,68
25541,11482,50
25541,11483,68
25541,314,381
25541,7071,68
25541,11484,139
25541,8363,79
25541,7628,35
25541,7629,27
25541,7016,155
25542,7017,77
25542,239,529
25542,379,279
25542,9155,490
25542,13796,489
25542,9133,558
25542,586,529
25542,11480,489
25542,11481,471
25542,11437,471
25542,534,230
25542,314,230
25542,425,279
25542,7626,490
25542,7627,471
25542,7016,82
25543,11438,29
25543,11476,191
25543,13794,275
25543,11478,49
25543,11479,29
25543,7624,48
25543,7625,29
25543,11553,95
25543,741,799
25543,10970,289
25543,10971,289
25543,239,198
25543,14313,1042
25543,750,319
25543,14315,289
25543,14316,289
25543,9154,48
25543,13795,48
25543,586,198
25543,14317,185
25543,81,799
25543,11439,95
25543,11440,190
25543,5533,104
25543,90,319
25544,11438,84
25544,11476,95
25544,13794,172
25544,11478,95
25544,11479,84
25544,11477,172
25544,7624,82
25544,7625,84
25544,11553,82
25544,741,734
25544,10970,154
25544,10971,154
25544,239,257
25544,14313,977
25544,750,254
25544,14315,154
25544,14316,154
25544,14317,90
25544,13795,82
25544,9153,102
25544,586,257
25544,9154,82
