rank,source,target,time
0,1683,1773,27010
0,13237,579,51427
0,4778,1253,45459
0,3758,23703,34856
0,24889,15424,52888
0,18461,13683,45429
0,7980,8524,65918
0,14215,10868,38693
0,6455,7420,73874
0,835,1961,32741
0,15901,14910,59156
0,11932,20535,78254
0,11634,16180,5747
0,3305,22727,20789
0,22858,21562,41318
0,4583,19343,61985
0,24513,1540,37796
0,15674,1310,82880
0,746,17803,54762
0,2789,10662,14700
0,8645,15098,18572
0,6961,24061,19045
0,3385,21220,29207
0,5588,18647,8726
0,10994,8762,24516
0,2973,17967,72196
0,16000,20378,41006
0,1551,9384,80966
0,18374,22070,44054
0,7858,18406,19272
0,17480,16937,84518
0,17650,15119,4107
0,6604,19257,64218
0,24262,16218,8312
0,197,12639,70633
0,21190,12206,17234
0,7675,5986,78817
0,20175,7351,23596
0,7884,11238,82245
0,20528,22287,30121
0,4842,17517,11347
0,16455,13248,55295
0,16069,10555,51172
0,15452,1379,11616
0,6649,22641,29795
0,17560,8818,33621
0,1159,14566,76621
0,18607,20979,4049
0,24741,23431,37680
0,22545,8950,28513
0,14175,16492,9635
0,15955,8726,80544
0,22877,11035,60646
0,2018,5121,85827
0,24813,13009,85543
0,19404,10728,10037
0,13602,11624,35480
0,10893,1924,22888
0,18542,12987,33381
0,18626,14683,48308
0,2286,1601,50090
0,4206,19802,76820
0,8060,15499,59907
0,142,921,19254
0,24019,11856,29450
0,22081,8544,23450
0,13340,3971,13371
0,6145,20277,35537
0,6256,24179,66602
0,3140,1779,81973
0,19172,47,56759
0,23412,3962,100
0,5361,6902,75813
0,19560,22114,28863
0,20607,23472,16424
0,14186,6978,7607
0,21905,3779,73283
0,367,19475,70395
0,23895,5141,40490
0,11873,25158,54646
0,16893,16028,83538
0,21894,12242,57522
0,6814,24812,4415
0,16845,23882,36341
0,6790,11371,36978
0,5482,11056,62537
0,5816,16936,26704
0,16063,12758,47937
0,18742,7320,56974
0,20560,9682,25697
0,4806,7293,69337
0,23813,14601,22315
0,19979,15263,76351
0,19543,11666,37972
0,15910,1294,1265
0,9757,13183,49433
0,10678,24204,72196
0,18636,6248,16982
0,7988,5796,56883
0,23470,14932,44838
0,23144,13910,70849
0,18869,2851,30725
0,5844,5269,84689
0,13303,17074,34883
0,17377,15152,40091
0,22897,7691,74682
0,4322,7412,79146
0,14306,850,31826
0,1745,17525,495
0,11457,21971,28166
0,18488,17701,41680
0,10592,1545,21632
0,14098,23246,4668
0,22051,9824,4619
0,3317,10364,12830
0,22515,9893,49215
0,23255,20679,62044
0,17562,10419,34913
0,25251,11539,84021
0,118,25268,25869
0,20193,25183,82440
0,21166,21311,64630
0,21962,14799,59671
0,24888,19728,59100
0,7055,6522,41755
0,14451,7441,77297
0,24219,2211,60380
0,582,9458,62155
